,user,item,rating,review
0,56,670,4.0,"Just part of my ""One Spot"" arsenal"
1,23,301,5.0,Perfect for electric guitar
2,86,744,5.0,Quality Cables For The Money
3,149,482,5.0,AMAZING PREAMP DEAL
4,76,354,5.0,very nice quality and price is right
5,67,74,5.0,I wished for this!
6,183,517,5.0,"Great Case, Great Price"
7,173,273,5.0,Great lil' picks
8,47,593,5.0,"Stable, sturdy, easy to use"
9,148,343,3.0,Almost a Winner
10,14,707,5.0,Good rack screws at a good price
11,41,583,5.0,Very useful/Durable/VERY convienent!
12,14,646,5.0,"Comfortable, well made strap, highly recommended"
13,53,11,5.0,This product ships as expected
14,72,694,5.0,very nice
15,19,26,5.0,Nice sound!
16,159,51,5.0,Keep the instrument humidified - play it forever
17,48,235,5.0,Gets the job done on the cheap
18,160,2,5.0,Great capo
19,1,329,5.0,"A versatile, overlooked classic overdrive from BOSS"
20,104,326,5.0,solid quality
21,183,727,4.0,Does the job better than other mini lights I have used
22,76,497,3.0,I goofed...
23,43,765,4.0,Good stand - not the best for gigging / travel
24,162,669,5.0,"Perfect solution for smaller, lighter mics"
25,66,191,5.0,Its a backplate
26,17,192,3.0,It's OK
27,93,280,5.0,New strings.
28,157,155,5.0,Surprisingly good
29,105,587,4.0,Good For New Player - Recommended
30,81,120,5.0,Don't NEED rollers on most guitars...
31,121,732,4.0,"Good sound, some annoying minor issues"
32,165,774,5.0,This capo is as good as I've ever used and its in pink which ...
33,137,637,4.0,Fits all my guitars & basses
34,130,727,5.0,Perfect.....well.........Nearly Perfect !
35,167,600,5.0,they work as advertised
36,62,334,5.0,Love Fender Strings
37,1,72,5.0,VOX-type tones as a preamp or stompbox at an affordable price
38,126,717,5.0,Worth the Money
39,102,94,5.0,Convenioence and quick.
40,101,115,5.0,These Do Wonders For My Seagull!
41,63,586,5.0,Great for songwriting
42,142,206,5.0,Excellent strings
43,125,698,5.0,I use these picks for standard chord strumming.
44,70,784,5.0,good afordable buy
